site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Sourkoudougou_all	Sourkoudougou_all	Sourkoudougou Health Facility	Burkina Faso	BFA	11.3322432659296	-4.33947082275284	Depot Csps De Sourkoudougou	author_comms	yes	health_facility	0.5	10.0	both		Cases were SMC-eligible children 6–59 months of age diagnosed with malaria. Two controls were enrolled per case: SMC-eligible children without malaria; and older (5–10 years old), SMC-ineligible children with malaria.		
Sourkoudougou_no_SMC	Sourkoudougou_no_SMC	Sourkoudougou Health Facility	Burkina Faso	BFA	11.3322432659296	-4.33947082275284	Depot Csps De Sourkoudougou	author_comms	yes	health_facility	5.0	10.0	both		Controls were children ages 5-10 who presented with fever and were confirmed to have uncomplicated falciparum malaria by RDT		
