site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Masaka			Rwanda	RWA	-1.996943762	30.19178966	Masaka Rwanda	manual	yes								
Ruhuha			Rwanda	RWA	-2.312510936	30.05893237	Ruhuha	manual	yes								
Bugarama			Rukara	RWA	-2.698764193	29.00817479	Bugarama Rwanda	manual	yes								
Kibirizi			Rukara	RWA	-2.38679768	29.88967274	Kibirizi health center	manual	yes								
Nyarurema			Rukara	RWA	-1.403341568	30.16622538	nyarurema rwanda	manual	yes								
Rukara			Rukara	RWA	-1.797	30.503		manual	yes								
