site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
lomami_i	lomami_i	lomami_i	DRC	COD	-7.153999	23.497126				pre_treatment			
kinshasa_h	kinshasa_h	kinshasa_h	DRC	COD	-4.387896	15.398085				pre_treatment			
tanganyka_a	tanganyka_a	tanganyka_a	DRC	COD	-5.946134	28.027841				pre_treatment			
tshopo_d	tshopo_d	tshopo_d	DRC	COD	1.592727	25.336812				pre_treatment			
kasai_central_a	kasai_central_a	kasai_central_a	DRC	COD	-6.072528	22.731727				pre_treatment			
kasai_central_b	kasai_central_b	kasai_central_b	DRC	COD	-5.710534	22.334295				pre_treatment			
haut_uele_b	haut_uele_b	haut_uele_b	DRC	COD	3.047833	29.52771				pre_treatment			
haut_lomami_a	haut_lomami_a	haut_lomami_a	DRC	COD	-7.331683	25.571509				pre_treatment			
ituri_i	ituri_i	ituri_i	DRC	COD	2.861207	30.537617				pre_treatment			
kongo_central_d	kongo_central_d	kongo_central_d	DRC	COD	-5.341996	14.218269				pre_treatment			
kasai_central_c	kasai_central_c	kasai_central_c	DRC	COD	-5.925454	22.41119				pre_treatment			
haut_uele_c	haut_uele_c	haut_uele_c	DRC	COD	3.484675	29.018924				pre_treatment			
kinshasa_i	kinshasa_i	kinshasa_i	DRC	COD	-4.405809	15.382643				pre_treatment			
nord_kivu_a	nord_kivu_a	nord_kivu_a	DRC	COD	-1.288684	28.767592				pre_treatment			
haut_katanga_a	haut_katanga_a	haut_katanga_a	DRC	COD	-9.863971	26.995513				pre_treatment			
haut_uele_d	haut_uele_d	haut_uele_d	DRC	COD	2.459054	27.379898				pre_treatment			
sankuru_a	sankuru_a	sankuru_a	DRC	COD	-3.310204	24.048013				pre_treatment			
tshuapa_a	tshuapa_a	tshuapa_a	DRC	COD	0.220128	21.795078				pre_treatment			
haut_lomami_b	haut_lomami_b	haut_lomami_b	DRC	COD	-9.929277	24.62121				pre_treatment			
nord_kivu_b	nord_kivu_b	nord_kivu_b	DRC	COD	-1.24187	28.88874				pre_treatment			
kongo_central_e	kongo_central_e	kongo_central_e	DRC	COD	-4.950161	12.960852				pre_treatment			
tshuapa_b	tshuapa_b	tshuapa_b	DRC	COD	0.612678	22.221747				pre_treatment			
sud_kivu_a	sud_kivu_a	sud_kivu_a	DRC	COD	-3.334811	28.119689				pre_treatment			
maniema_b	maniema_b	maniema_b	DRC	COD	-4.066919	26.255537				pre_treatment			
maniema_c	maniema_c	maniema_c	DRC	COD	-2.256134	26.263119				pre_treatment			
tanganyka_b	tanganyka_b	tanganyka_b	DRC	COD	-5.02206	27.01216				pre_treatment			
tshopo_e	tshopo_e	tshopo_e	DRC	COD	0.581099	24.825931				pre_treatment			
tshopo_f	tshopo_f	tshopo_f	DRC	COD	-1.006873	23.923821				pre_treatment			
kinshasa_j	kinshasa_j	kinshasa_j	DRC	COD	-4.434677	15.303574				pre_treatment			
kongo_central_f	kongo_central_f	kongo_central_f	DRC	COD	-5.342878	13.241549				pre_treatment			
kongo_central_g	kongo_central_g	kongo_central_g	DRC	COD	-5.172551	12.980035				pre_treatment			
bas_uele_b	bas_uele_b	bas_uele_b	DRC	COD	2.745975	23.785833				pre_treatment			
kinshasa_k	kinshasa_k	kinshasa_k	DRC	COD	-4.392906	15.394874				pre_treatment			
nord_ubangi_f	nord_ubangi_f	nord_ubangi_f	DRC	COD	4.957885	19.223004				pre_treatment			
ituri_j	ituri_j	ituri_j	DRC	COD	2.208951	31.189712				pre_treatment			
mai_ndombe_f	mai_ndombe_f	mai_ndombe_f	DRC	COD	-2.867428	16.196954				pre_treatment			
tshopo_g	tshopo_g	tshopo_g	DRC	COD	-0.142111	25.636373				pre_treatment			
tshopo_h	tshopo_h	tshopo_h	DRC	COD	0.467484	25.530755				pre_treatment			
tshopo_i	tshopo_i	tshopo_i	DRC	COD	0.039164	24.097766				pre_treatment			
