"","x"
"400","34749796"
"401","40457392"
"402","39994226"
"403","34460932"
"404","28493919"
"405","28427409"
"406","34034754"
"407","29615039"
"408","38714692"
"409","35725630"
"410","26791088"
"411","39072017"
"412","26416757"
"413","34795281"
"414","31915075"
"415","29304805"
"416","25582377"
"417","39802777"
"418","37462313"
"419","34831072"
"420","28283009"
"421","38520842"
"422","35331243"
"423","31643044"
"424","26613787"
"425","25919029"
"426","33422068"
"427","35751070"
"428","36788274"
"429","37947766"
"430","30670023"
"431","25887344"
"432","39373634"
"433","34908849"
"434","29033373"
"435","37096145"
"436","36611179"
"437","28289025"
"438","39642214"
"439","29614109"
"440","40297444"
"441","39348488"
"442","39383173"
"443","35586639"
"444","33573376"
"445","38712186"
"446","36615340"
"447","29419995"
"448","27113085"
"449","32201636"
"450","26337671"
"451","37398288"
"452","32631416"
"453","31068189"
"454","35843175"
"455","33918981"
"456","35939419"
"457","32097407"
"458","38019958"
"459","25783783"
"460","39759387"
"461","29155671"
"462","38883763"
"463","39148823"
"464","30530597"
"465","33468147"
"466","39597971"
"467","38746440"
"468","28420422"
"469","32745085"
"470","25293669"
"471","40138574"
"472","35788037"
"473","39605531"
"474","33746510"
"475","29946436"
"476","29486174"
"477","33364273"
"478","39826559"
"479","39425178"
"480","35811813"
"481","34335033"
"482","38448968"
"483","27873670"
"484","37611122"
"485","33507842"
"486","37918005"
"487","27694087"
"488","27809844"
"489","25935753"
"490","29980936"
"491","31699532"
"492","30397515"
"493","29946569"
"494","25941403"
"495","36228923"
"496","28950417"
"497","31126311"
"498","33980273"
"499","35610655"
"500","34139428"
"501","33253481"
"502","38195546"
"503","27853513"
"504","26801407"
"505","31737048"
"506","37419638"
"507","38761813"
"508","34452235"
"509","27840069"
"510","31852480"
"511","38062464"
"512","34906124"
"513","37375534"
"514","36536036"
"515","30911048"
"516","36260349"
"517","40463542"
"518","37968745"
"519","26577669"
"520","37573300"
"521","26271736"
"522","31278305"
"523","29381699"
"524","37849789"
"525","37399221"
"526","32668367"
"527","31078747"
"528","31700799"
"529","35804461"
"530","27286886"
"531","31280465"
"532","38370674"
"533","29082016"
"534","38629580"
"535","38455947"
"536","39229023"
"537","38455314"
"538","25452699"
"539","38479748"
"540","32053607"
"541","40219818"
"542","28522690"
"543","30008393"
"544","36457004"
"545","36824880"
"546","39738025"
"547","34820155"
"548","31133042"
"549","39252921"
"550","29723168"
"551","29396203"
"552","40574802"
"553","30538723"
"554","33269730"
"555","27830190"
"556","39829636"
"557","40162260"
"558","29040727"
"559","35600144"
"560","36860282"
"561","38582941"
"562","27151152"
"563","28612053"
"564","31844061"
"565","27348298"
"566","36798264"
"567","39536985"
"568","34524109"
"569","31099769"
"570","33735166"
"571","38886827"
"572","30728021"
"573","35927713"
"574","38014035"
"575","29112986"
"576","26068100"
"577","32150544"
"578","33407454"
"579","36048717"
"580","36864926"
"581","33824913"
"582","39314932"
"583","39928049"
"584","35617818"
"585","38997729"
"586","35992756"
"587","26169336"
"588","32328298"
"589","34595134"
"590","32134952"
