site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	site_study_type	pretreatment_samples	study_design_age_min_years	study_design_age_max_years	study_design_sex
mtofaani_phcu	mtofaani_phcu	mtofaani_phcu	Tanzania	TZA	-6.1690317	39.2434			health_facility	Y			both
bwefum	bwefum	bwefum	Tanzania	TZA	-6.3058735	39.2957756			health_facility	Y			both
magirisi	magirisi	magirisi	Tanzania	TZA	-6.188928	39.2385437			health_facility	Y			both
altwayybib_dispensary	altwayybib_dispensary	altwayybib_dispensary	Tanzania	TZA	-6.0120099	39.2029532			health_facility	Y			both
upenja	upenja	upenja	Tanzania	TZA	-5.98291	39.31487			health_facility	Y			both
dr_metha_nungwi	dr_metha_nungwi	dr_metha_nungwi	Tanzania	TZA	-5.7295412	39.2979888			health_facility	Y			both
pwani_mchangani_phcu	pwani_mchangani_phcu	pwani_mchangani_phcu	Tanzania	TZA	-5.91915	39.35482			health_facility	Y			both
mkokotoni_phcu	mkokotoni_phcu	mkokotoni_phcu	Tanzania	TZA	-5.874904	39.2585041			health_facility	Y			both
kauthar_specialized_clinic	kauthar_specialized_clinic	kauthar_specialized_clinic	Tanzania	TZA	-5.8817428	39.2829633			health_facility	Y			both
ndijani_mseweni	ndijani_mseweni	ndijani_mseweni	Tanzania	TZA	-6.19518	39.2199			health_facility	Y			both
kidimni_phcu	kidimni_phcu	kidimni_phcu	Tanzania	TZA	-6.13065586	39.3009863			health_facility	Y			both
koani_dispensary	koani_dispensary	koani_dispensary	Tanzania	TZA	-6.1384392	39.2854397			health_facility	Y			both
kisauni	kisauni	kisauni	Tanzania	TZA	-6.2166455	39.2310536			health_facility	Y			both
kitope_dispensary	kitope_dispensary	kitope_dispensary	Tanzania	TZA	-6.016263	39.2568067			health_facility	Y			both
minna_dispensary	minna_dispensary	minna_dispensary	Tanzania	TZA	-6.1453107	39.2208841			health_facility	Y			both
kizimkazi_mkunguni	kizimkazi_mkunguni	kizimkazi_mkunguni	Tanzania	TZA	-6.45298	39.47133			health_facility	Y			both
kiembe_samaki	kiembe_samaki	kiembe_samaki	Tanzania	TZA	-6.2101121	39.2215405			health_facility	Y			both
magogoni	magogoni	magogoni	Tanzania	TZA	-6.17289	39.22647			health_facility	Y			both
kitogani	kitogani	kitogani	Tanzania	TZA	-6.289072	39.441144			health_facility	Y			both
makunduchi	makunduchi	makunduchi	Tanzania	TZA	-6.4172524	39.5556352			health_facility	Y			both
kidongo_chekundu	kidongo_chekundu	kidongo_chekundu	Tanzania	TZA	-6.17154	39.21263			health_facility	Y			both
mwera	mwera	mwera	Tanzania	TZA	-6.14353	39.27258			health_facility	Y			both
matrekta	matrekta	matrekta	Tanzania	TZA	-6.2069303	39.2092483			health_facility	Y			both
utapoa_dispensary	utapoa_dispensary	utapoa_dispensary	Tanzania	TZA	-6.1623419	39.2089226			health_facility	Y			both
al_tabib_dispensary	al_tabib_dispensary	al_tabib_dispensary	Tanzania	TZA	-6.1715363	39.2242174			health_facility	Y			both
kianga_phcu	kianga_phcu	kianga_phcu	Tanzania	TZA	-6.1350657	39.2553169			health_facility	Y			both
raha_leo	raha_leo	raha_leo	Tanzania	TZA	-6.16486	39.20222			health_facility	Y			both
jangombe_mpendae	jangombe_mpendae	jangombe_mpendae	Tanzania	TZA	-6.1852174	39.2158952			health_facility	Y			both
bumbwisudi	bumbwisudi	bumbwisudi	Tanzania	TZA	-6.058699	39.2658983			health_facility	Y			both
mafunzo	mafunzo	mafunzo	Tanzania	TZA	-6.1732218	39.2030941			health_facility	Y			both
kingolwira_health_center	kingolwira_health_center	kingolwira_health_center	Tanzania	TZA	-6.77641	37.751220000000004			health_facility	Y			both
