site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Rukara	Rukara		Rwanda	RWA	-1.796798027	30.50303038	Rukara Health Center	manual	yes	TES	0.5	4.9	both				
Masaka	Masaka		Rwanda	RWA	-1.995654351	30.19131838	Masaka Health Center	manual	yes	TES	0.5	4.9	both				
Bugarama	Bugarama		Rwanda	RWA	-2.607728621	29.01872819	Bugarama Rusizi Health Center	manual	yes	TES	0.5	4.9	both				
