site_uid	site_name	collection_location	country	iso3c	lat_n	lon_e	google_lat_long_site	coords_source	pretreatment_samples	site_study_type	study_design_age_min_years	study_design_age_max_years	study_design_sex	site_published_region	study_design_inclusion_criteria	study_design_exclusion_criteria	site_study_notes
Benguela	Benguela	Benguela city	Angola	AGO	-12.54543713	13.39420441	Benguela General Hospital	manual	yes	TES	0.5	12	both		Inclusion criteria were broader in Benguela compared to Lunda Sul and Zaire, allowing for older children (< 12 years vs. < 5 years) and lower parasitaemias (between 1000 and 100,000 asexual parasites/μL vs. between 2000 and 200,000 parasites/μL), due to the lower level of malaria transmission in Benguela.		
Zaire	Zaire	M'Banza Congo Municipal Hospital	Angola	AGO	-6.265461256	14.2530007	M'Banza Congo Municipal Hospital	manual	yes	TES	0.5	5	both		Study entrants were children with fever (≥ 37.5 °C) or a history of fever in the past 24 h, P. falciparum monoinfection on blood smear, no signs of severe malaria on physical exam, no concomitant illness or severe malnutrition, a haemoglobin greater than 8 g/dL, no anti-malarials within the last 14 days, and caregivers willing to attend all follow-up visits with study staff.		
Lunda_Sul	Lunda_Sul	Lunda_Sul	Angola	AGO	-10.25477169	20.74269107	Lunda Sul	manual	yes	TES	0.5	5	both		Study entrants were children with fever (≥ 37.5 °C) or a history of fever in the past 24 h, P. falciparum monoinfection on blood smear, no signs of severe malaria on physical exam, no concomitant illness or severe malnutrition, a haemoglobin greater than 8 g/dL, no anti-malarials within the last 14 days, and caregivers willing to attend all follow-up visits with study staff.		
